Function,Code,Name,Origin,Notes
—,\x1b[<76-89>m,—,Unknown,Unknown (Not used by anything or defined anywhere that I could find)
fg Vivid <Color>,\x1b[<90-97>m,Set bright foreground color,aixterm,Wikipedia: Not in standard; originally implemented by aixterm
fgv <Color>,\x1b[<90-97>m,Set bright foreground color,aixterm,Wikipedia: Not in standard; originally implemented by aixterm
fg Vivid Black,\x1b[90m,Set bright foreground color (black),aixterm,Wikipedia: Not in standard; originally implemented by aixterm
fgv Black,\x1b[90m,Set bright foreground color (black),aixterm,Wikipedia: Not in standard; originally implemented by aixterm
fg Vivid Red,\x1b[91m,Set bright foreground color (red),aixterm,Wikipedia: Not in standard; originally implemented by aixterm
fgv Red,\x1b[91m,Set bright foreground color (red),aixterm,Wikipedia: Not in standard; originally implemented by aixterm
fg Vivid Green,\x1b[92m,Set bright foreground color (green),aixterm,Wikipedia: Not in standard; originally implemented by aixterm
fgv Green,\x1b[92m,Set bright foreground color (green),aixterm,Wikipedia: Not in standard; originally implemented by aixterm
fg Vivid Yellow,\x1b[93m,Set bright foreground color (yellow),aixterm,Wikipedia: Not in standard; originally implemented by aixterm
fgv Yellow,\x1b[93m,Set bright foreground color (yellow),aixterm,Wikipedia: Not in standard; originally implemented by aixterm
fg Vivid Blue,\x1b[94m,Set bright foreground color (blue),aixterm,Wikipedia: Not in standard; originally implemented by aixterm
fgv Blue,\x1b[94m,Set bright foreground color (blue),aixterm,Wikipedia: Not in standard; originally implemented by aixterm
fg Vivid Magenta,\x1b[95m,Set bright foreground color (magenta),aixterm,Wikipedia: Not in standard; originally implemented by aixterm
fgv Magenta,\x1b[95m,Set bright foreground color (magenta),aixterm,Wikipedia: Not in standard; originally implemented by aixterm
fg Vivid Cyan,\x1b[96m,Set bright foreground color (cyan),aixterm,Wikipedia: Not in standard; originally implemented by aixterm
fgv Cyan,\x1b[96m,Set bright foreground color (cyan),aixterm,Wikipedia: Not in standard; originally implemented by aixterm
fg Vivid White,\x1b[97m,Set bright foreground color (white),aixterm,Wikipedia: Not in standard; originally
fgv White,\x1b[97m,Set bright foreground color (white),aixterm,Wikipedia: Not in standard; originally
—,\x1b[<98-99>m,—,Unknown,Unknown (Not used by anything or defined anywhere that I could find)
bg Vivid <Color>,\x1b[<100-107>m,Set bright background color,aixterm,—
bgv <Color>,\x1b[<100-107>m,Set bright background color,aixterm,—
bg Vivid Black,\x1b[100m,Set bright background color (black),aixterm,—
bgv Black,\x1b[100m,Set bright background color (black),aixterm,—
bg Vivid Red,\x1b[101m,Set bright background color (red),aixterm,—
bgv Red,\x1b[101m,Set bright background color (red),aixterm,—
bg Vivid Green,\x1b[102m,Set bright background color (green),aixterm,—
bgv Green,\x1b[102m,Set bright background color (green),aixterm,—
bg Vivid Yellow,\x1b[103m,Set bright background color (yellow),aixterm,—
bgv Yellow,\x1b[103m,Set bright background color (yellow),aixterm,—
bg Vivid Blue,\x1b[104m,Set bright background color (blue),aixterm,—
bgv Blue,\x1b[104m,Set bright background color (blue),aixterm,—
bg Vivid Magenta,\x1b[105m,Set bright background color (magenta),aixterm,—
bgv Magenta,\x1b[105m,Set bright background color (magenta),aixterm,—
bg Vivid Cyan,\x1b[106m,Set bright background color (cyan),aixterm,—
bgv Cyan,\x1b[106m,Set bright background color (cyan),aixterm,—
bg Vivid White,\x1b[107m,Set bright background color (white),aixterm,—
bgv White,\x1b[107m,Set bright background color (white),aixterm,—
—,\x1b[<108-...>m,—,Unknown,Unknown (Not used by anything or defined anywhere that I could find)
